"","fcar","uf","munic","year","camada_area_hec","Formacao Florestal","Formacao Savanica","Cana-de-Acucar","Mosaico de Agricultura e Pastagem","Campo Alagado e Area Pantanosa","Soja","Café","Citrus","Pastagem","Area Urbanizada","Silvicultura","Outras Lavouras Temporarias","Rio, Lago e Oceano","Fomacao Campestre","Outras Lavouras Perenes","Outras Areas nao Vegetadas","Afloramento"
"119","SP-3553708-A9D6B4F756BB45919EA7C9756FFB254D","SP",3553708,"2020",0.58,0.42,0,0.1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0
"120","SP-3553708-AA34AC59851D4B71BE2127B0FDFAF724","SP",3553708,"2020",0,0,0,34.25,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0
"121","SP-3553708-AA3E7655C01A41699C9164A87DD1644A","SP",3553708,"2020",4.68,3.79,0,0.18,0.7,0,0,0,0,0.01,0,0,0,0,0,0,0,0
"122","SP-3553708-AEB716FA958445A28AEED88BC5A58BC7","SP",3553708,"2020",0.69,0.6,0,0.03,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0
"123","SP-3553708-AFDBC8C90F67414281CCC0A811177C53","SP",3553708,"2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124","SP-3553708-B293A84CD7214658B7E556112DD90B1C","SP",3553708,"2020",0,0,0,20.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","SP-3553708-B30E6113597D48EA8EBCA56924CD630C","SP",3553708,"2020",1.86,1.65,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0
"126","SP-3553708-B3B40607D9EC47B39A585035D516A560","SP",3553708,"2020",36.1,8.49,0,0.08,26.46,0.76,0,0,0,0,0.3,0,0,0,0,0,0,0
"127","SP-3553708-B6CB9C346B1A49769E52BC44C7D921DD","SP",3553708,"2020",13.41,6.54,0,1.66,4.6,0,0,0,0,0,0,0,0.61,0,0,0,0,0
"128","SP-3553708-BD3F48A4FBFE4C488F6022B9C36F7DC1","SP",3553708,"2020",1.05,0.39,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0
"129","SP-3553708-BDC82F5FA22145A5B94E45D353001570","SP",3553708,"2020",0,0,0,39.89,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0
"130","SP-3553708-C06CE73F827F49D9ABD386A80BD37FAC","SP",3553708,"2020",19.1,11.69,0,0.47,6.83,0.12,0,0,0,0,0,0,0,0,0,0,0,0
"131","SP-3553708-C19DAF28E878458584873AECBAB95F92","SP",3553708,"2020",4.28,0.91,0,0,0.41,2.69,0,0,0,0,0,0,0.27,0,0,0,0,0
"132","SP-3553708-C43168C278EE4E5588BFE11627AA1D22","SP",3553708,"2020",12.18,9.19,0,0.41,1.74,0.71,0,0,0,0.08,0,0,0.06,0,0,0,0,0
"133","SP-3553708-CEA2E53369BC456C8C2A5FEE5AC464BC","SP",3553708,"2020",2.31,1.92,0,0.04,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0
