"","fcar","uf","munic","year","camada_area_hec","Formacao Florestal","Formacao Savanica","Cana-de-Acucar","Mosaico de Agricultura e Pastagem","Campo Alagado e Area Pantanosa","Café","Citrus","Soja","Pastagem","Area Urbanizada","Outras Lavouras Temporarias","Rio, Lago e Oceano","Fomacao Campestre","Outras Lavouras Perenes","Outras Areas nao Vegetadas","Silvicultura","Afloramento"
"88","SP-3553708-5DC28721E7B04CEBB4175DC5087BF35C","SP",3553708,"2018",4.95,3.7,0,0.06,1.18,0,0,0,0,0.01,0,0,0,0,0,0,0,0
"89","SP-3553708-5E108273477444EF9128DBEC6D97197D","SP",3553708,"2018",0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","SP-3553708-5F2E87B8ABE847618C1AF8E982479ED6","SP",3553708,"2018",4.3,2.08,0,0.33,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","SP-3553708-625354A6D1C147BBAA351A2653D2A5C3","SP",3553708,"2018",0.15,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","SP-3553708-63B9D7B6A988411A8A8F3BA1744F0F60","SP",3553708,"2018",0.07,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0
"93","SP-3553708-641F8D880A6B4EE6B9640F07EEC9E7BB","SP",3553708,"2018",4.27,1.8,0,0,0.86,1.62,0,0,0,0,0,0,0,0,0,0,0,0
"94","SP-3553708-698776D9448F42078AAEB1C6B3D2504A","SP",3553708,"2018",21.09,10.98,0,0.85,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","SP-3553708-698EB422A8304A3BBB200E882CD4E989","SP",3553708,"2018",4.71,3.18,0,0.18,0.97,0,0,0,0,0,0,0.39,0,0,0,0,0,0
"96","SP-3553708-6B4E5206FDA74D9CBFA961CFF31B2F04","SP",3553708,"2018",0.18,0.05,0,0.01,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","SP-3553708-6E81B98218E0424585F91CBD1C2640B7","SP",3553708,"2018",23.42,19.84,0,0.42,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","SP-3553708-717729B507BA42D2BEF1919C06A84931","SP",3553708,"2018",2.05,1.72,0,0,0.3,0,0,0,0,0,0,0.03,0,0,0,0,0,0
"99","SP-3553708-75EB43DF11594E7A96F4561A8FDDABB7","SP",3553708,"2018",41.13,23.45,0,2.67,13.12,1.9,0,0,0,0,0,0,0,0,0,0,0,0
"100","SP-3553708-7653BD924236459B8C47BC58F98EFCE5","SP",3553708,"2018",24.83,20.39,0,1.29,3.11,0,0,0,0,0,0,0.05,0,0,0,0,0,0
"101","SP-3553708-76A7B4F9D99549C78E7AC67B53BB2B3C","SP",3553708,"2018",0.02,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","SP-3553708-7AFAC93FC67E4174A523FD5E935CEACA","SP",3553708,"2018",4.38,2.37,0,0.05,1.34,0.64,0,0,0,0,0,0,0,0,0,0,0,0
"103","SP-3553708-7D52337EDE6547CCBB4D3C1265DACB2A","SP",3553708,"2018",18.29,15.67,0,0.27,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","SP-3553708-7FE74DBE05434D2AAC66BB501684048D","SP",3553708,"2018",0.82,0.44,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0
"105","SP-3553708-8AD9E86E75D84315AE9FED048812FC8B","SP",3553708,"2018",5.83,5.42,0,0.15,0.12,0.13,0,0,0,0,0,0,0,0,0,0,0,0
"106","SP-3553708-91969BC01A48412787C2C5625EEB6D11","SP",3553708,"2018",2.71,1.67,0,0.65,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0
"107","SP-3553708-92A63A0F23334E10B312AEA000572D36","SP",3553708,"2018",0.19,0.18,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
"108","SP-3553708-943E0C267F964F54AADC0BC1416CFC51","SP",3553708,"2018",21.36,4.63,0,0.68,14.3,1.75,0,0,0,0,0,0,0,0,0,0,0,0
"109","SP-3553708-9532B608710B440F82A6945FB640B3C8","SP",3553708,"2018",6.2,2.85,0,0.31,2.69,0,0,0,0,0.02,0,0.34,0,0,0,0,0,0
"110","SP-3553708-956D327273BE4502890E643A62057863","SP",3553708,"2018",13.79,0,0,0.43,11.83,0.77,0,0,0,0.75,0,0,0,0,0,0,0,0
"111","SP-3553708-961C4C023C78407B9A4EE1ABFB57BAB0","SP",3553708,"2018",0.55,0.49,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112","SP-3553708-9DC8985142A648019A6BDC3360DAAFC4","SP",3553708,"2018",1.8,1.15,0,0.1,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
"113","SP-3553708-9E3FDF045ABD4CB9A9071E2DD3FE81D5","SP",3553708,"2018",27.07,17.02,0,1.64,7.32,0.82,0,0,0,0,0,0.28,0,0,0,0,0,0
"114","SP-3553708-9F44D94F5C9C43FF95D95829823A8659","SP",3553708,"2018",0.7,0.3,0,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
"115","SP-3553708-A30BD8178E844312998C630E9F4D1A30","SP",3553708,"2018",4.85,4.34,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"116","SP-3553708-A5F673725E0E431C9E43B22FEB045E2C","SP",3553708,"2018",4.32,2.38,0,0.16,1.63,0.15,0,0,0,0,0,0,0,0,0,0,0,0
"117","SP-3553708-A683C1419B744985B282D80959EA1326","SP",3553708,"2018",5.53,2.42,0,1.41,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0
"118","SP-3553708-A6B57DD155A84AA5819D41E870D13D1A","SP",3553708,"2018",0.21,0,0,0,0.18,0.03,0,0,0,0,0,0,0,0,0,0,0,0
"119","SP-3553708-A9D6B4F756BB45919EA7C9756FFB254D","SP",3553708,"2018",0.58,0.42,0,0.1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0
"120","SP-3553708-AA34AC59851D4B71BE2127B0FDFAF724","SP",3553708,"2018",0,0,0,34.25,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0
"121","SP-3553708-AA3E7655C01A41699C9164A87DD1644A","SP",3553708,"2018",4.68,4,0,0.18,0.48,0,0,0,0,0.01,0,0,0,0,0,0,0,0
"122","SP-3553708-AEB716FA958445A28AEED88BC5A58BC7","SP",3553708,"2018",0.69,0.6,0,0.03,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0
"123","SP-3553708-AFDBC8C90F67414281CCC0A811177C53","SP",3553708,"2018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124","SP-3553708-B293A84CD7214658B7E556112DD90B1C","SP",3553708,"2018",0,0,0,20.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","SP-3553708-B30E6113597D48EA8EBCA56924CD630C","SP",3553708,"2018",1.86,1.64,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0
"126","SP-3553708-B3B40607D9EC47B39A585035D516A560","SP",3553708,"2018",36.1,8.49,0,0.08,25.95,1.27,0,0,0,0,0.3,0,0,0,0,0,0,0
"127","SP-3553708-B6CB9C346B1A49769E52BC44C7D921DD","SP",3553708,"2018",13.41,6.54,0,1.66,4.6,0,0,0,0,0,0,0.61,0,0,0,0,0,0
"128","SP-3553708-BD3F48A4FBFE4C488F6022B9C36F7DC1","SP",3553708,"2018",1.05,0.12,0,0.02,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0
"129","SP-3553708-BDC82F5FA22145A5B94E45D353001570","SP",3553708,"2018",0,0,0,40.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130","SP-3553708-C06CE73F827F49D9ABD386A80BD37FAC","SP",3553708,"2018",19.1,10.96,0,0.43,7.6,0.11,0,0,0,0,0,0,0,0,0,0,0,0
