"","fcar","uf","munic","year","farm_area_hec","Formacao Florestal","Formacao Savanica","Campo Alagado e Area Pantanosa","Pastagem","Mosaico de Agricultura e Pastagem","Outras Areas nao Vegetadas","Rio, Lago e Oceano","Cana-de-Acucar","Outras Lavouras Temporarias","Soja","Fomacao Campestre","Café","Citrus","Silvicultura","Area Urbanizada"
"86","SP-3524303-118775A2CCDD4FBE94C84767AFF917A8","SP",3524303,"2012",330.89,23.76,0,0.95,0,20.32,0,2.14,274,1.34,8.38,0,0,0,0,0
"87","SP-3524303-1739C594B4F540C59AF7B47ADBB2D62D","SP",3524303,"2012",1139.26,91.76,0,56.79,0,101.53,1.75,3.14,843.2,5.01,35.79,0,0,0,0,0
"88","SP-3524303-21656AD4FE944F7CB66011E4418F4187","SP",3524303,"2012",141.92,3.66,0,0.45,0,10.99,0,0,126.59,0.24,0,0,0,0,0,0
"89","SP-3524303-244BE86A3253482D851098B4D30F836D","SP",3524303,"2012",242.98,8.54,0,3,0.67,17.06,0,0,213.08,0.04,0.58,0,0,0,0,0
"90","SP-3524303-2805984E47D8413EA1F7FEED4A0C84DE","SP",3524303,"2012",178.61,0.13,0,0.95,0.08,3.81,0,0,173.14,0,0.51,0,0,0,0,0
"91","SP-3524303-45EABA24951149768D24A6F8C9E5BA8A","SP",3524303,"2012",261.25,40.6,0,0,0,12.75,0.04,0,207.68,0,0.18,0,0,0,0,0
"92","SP-3524303-4BF2884CA53D40CD816BC459457BC020","SP",3524303,"2012",122.69,29.03,0,0,0,6.72,0,0.05,86.81,0.08,0,0,0,0,0,0
"93","SP-3524303-577FC36D359E4056801675249F938706","SP",3524303,"2012",16.73,0,0,0,0,0,0,0,16.73,0,0,0,0,0,0,0
"94","SP-3524303-733F23B337C949A4B6314BBA22BD73A4","SP",3524303,"2012",19.49,0,0,0,0,0.77,0,0,18.73,0,0,0,0,0,0,0
"95","SP-3524303-7719C63514204FAA8BE3E4E773DD4B26","SP",3524303,"2012",114.64,5.01,0,0,0,9.3,0,0,100.33,0,0,0,0,0,0,0
"96","SP-3524303-7A7AD6C4FA144A09B9066F7638202E55","SP",3524303,"2012",109.55,1.68,0,0.6,0,13.09,0,0,94.19,0,0,0,0,0,0,0
"97","SP-3524303-7F899BC4BF434FC29BCD16956D775084","SP",3524303,"2012",294.65,0,0,2.56,9.91,14.7,0.67,3.32,263.5,0,0,0,0,0,0,0
"98","SP-3524303-825FAA66535C4771B3AE7DEBCB03FA43","SP",3524303,"2012",30.87,0,0,0,0,1.82,0,0,29.04,0,0,0,0,0,0,0
"99","SP-3524303-8DC097BB871E49BCAFEEDD4DAAFDBB1E","SP",3524303,"2012",117.31,1.18,0,0,0,3.61,0,0,91.3,0,21.21,0,0,0,0,0
"100","SP-3524303-A4204348BA434E28ADC4E0BAB626B251","SP",3524303,"2012",183.3,0,0,2.23,16.13,18.03,0,0,146,0,0.91,0,0,0,0,0
"101","SP-3524303-A7682ED563804138AF6A3F96D16FA05F","SP",3524303,"2012",33.62,0,0,0.19,0,0.86,0,0,32.57,0,0,0,0,0,0,0
"102","SP-3524303-AE1D25E0508C42BABADC23B3F41E9363","SP",3524303,"2012",65.36,0,0,0,0,0,0,0,65.36,0,0,0,0,0,0,0
"103","SP-3524303-B4E7D6269570418A8C7CB04464344387","SP",3524303,"2012",129.58,0,0,0.96,2.06,10.34,0,0,116.22,0,0,0,0,0,0,0
"104","SP-3524303-B511EABB874444398E1815F4A23331D5","SP",3524303,"2012",231.53,0,0,1.27,2.75,19.77,0,0,207.64,0.1,0,0,0,0,0,0
"105","SP-3524303-B81EF71D75DB4B0E824AC12E7E35D76B","SP",3524303,"2012",48.9,0,0,0,2.32,1.88,0,0,35.79,0.04,8.87,0,0,0,0,0
"106","SP-3524303-D35D6052A3004C3EB96D342F15B20926","SP",3524303,"2012",110.18,2.05,0,0.27,0.58,4.87,0,0,102.4,0,0,0,0,0,0,0
"107","SP-3524303-D78A85C41DBA40D891D0FEA45835EF2D","SP",3524303,"2012",342.01,10.24,0,5.01,0,38.6,0,0,284.5,0,3.67,0,0,0,0,0
"108","SP-3524303-F6196583B26A4E84AB1CD3FE7039A61E","SP",3524303,"2012",39.37,0.48,0,0.66,0,0.83,0,0,36.98,0.42,0,0,0,0,0,0
"109","SP-3529302-4380D5F337CF486E8E3C04893F2ED9CB","SP",3529302,"2012",533.99,50.77,0,7.53,0.75,78.59,1.17,0,394.69,0.08,0,0,0,0,0,0.42
"110","SP-3529302-5DA25D37430D4BE68395555524DC86D4","SP",3529302,"2012",12.2,0.51,0,0,0,3.59,0,0,8.1,0,0,0,0,0,0,0
"111","SP-3529302-664B22D1DFC44EAEA99AA819C0EC5779","SP",3529302,"2012",199.84,9.52,0,1.17,19.94,51.08,0,0,117.39,0.75,0,0,0,0,0,0
"112","SP-3529302-6D5093B0A0384E1E967CFBDF049F18E0","SP",3529302,"2012",32.57,5.38,0,0,0,26.99,0,0,0.2,0,0,0,0,0,0,0
"113","SP-3529302-82866007393E4DD6B6815EE7F7982D20","SP",3529302,"2012",19.35,0.75,0,0,0.32,1.36,0,0,16.92,0,0,0,0,0,0,0
"114","SP-3529302-AF136ED1760141DFB2FA0AFF59A07E3E","SP",3529302,"2012",151.36,0,0,0,0,16.89,0,0,134.14,0,0.01,0,0,0,0,0.32
"115","SP-3529302-E22D1B8967CE4CB5959A0B2F759D70ED","SP",3529302,"2012",51.23,0,0,0,0,1.46,0,0,49.77,0,0,0,0,0,0,0
"116","SP-3531308-5A765C4491DC4648A27E5D2E884EB375","SP",3531308,"2012",28.02,0.2,0,0,0,6.51,0,0,21.32,0,0,0,0,0,0,0
"117","SP-3531308-AA6227303FD445209CCFBA48F79908EA","SP",3531308,"2012",108.33,1.9,0,5.59,0.09,11.06,0,0.37,85.37,3.95,0,0,0,0,0,0
"118","SP-3531308-C2F56A08017A4459888CE0E69A3161F8","SP",3531308,"2012",47.89,3.71,0,1.24,0,7.24,0,0,35.62,0.07,0.01,0,0,0,0,0
"119","SP-3531308-DDC5C4B5C558434A9BE155279F32C2C1","SP",3531308,"2012",71.56,5.82,0,1.84,0,7.83,0,0,56.07,0,0,0,0,0,0,0
"120","SP-3532058-2C8FEF6FBC44472F9BF843B34FF9047E","SP",3532058,"2012",178.95,4.88,0,4.75,0,7.08,0,0,148.24,0,14,0,0,0,0,0
"121","SP-3532058-3EE625926E4E460DB99EA36B4AE36ECD","SP",3532058,"2012",181,1.13,0,0.12,0,3.48,0,0,56.61,0.31,119.29,0,0,0,0,0.07
"122","SP-3532058-7CBC1A16AA2E459E8BADBDB848922FAB","SP",3532058,"2012",276.54,3.04,0,0,0,12.58,1.5,0,257.31,0,2.1,0,0,0,0,0
"123","SP-3535002-07DD7C45D3E942C98886BFBB8B06B8D0","SP",3535002,"2012",64.86,6.89,0,0.42,0.28,15.78,0,0,41.49,0,0,0,0,0,0,0
"124","SP-3535002-1680D49FBA204A7CB661F0E52301933A","SP",3535002,"2012",91.85,8.09,0,0,0,14.41,0,0,38.3,1.62,29.43,0,0,0,0,0
"125","SP-3535002-1F6BB597B087407AAFBEE1C7F8FB9DD0","SP",3535002,"2012",26.2,0.73,0,0.12,3.72,9.47,0,0,11.49,0.67,0,0,0,0,0,0
"126","SP-3535002-36FD7710DDEB4FEF9F652436C122D3A7","SP",3535002,"2012",271.21,34.11,0,3.09,68.99,51.05,0,0,104.98,0,0,0,8.99,0,0,0
"127","SP-3535002-3DC863903D7C42FC9F62894F755C2800","SP",3535002,"2012",22.97,0.81,0,0,0.19,1.84,0,0,20.14,0,0,0,0,0,0,0
"128","SP-3535002-40C01BBAB3DD4547ACBB2CF3E5E0BF67","SP",3535002,"2012",14.81,0,0,0.08,4.31,4.81,0,0,5.61,0,0,0,0,0,0,0
"129","SP-3535002-415A2CFCCF6B4DC385D02C3268D01824","SP",3535002,"2012",52.48,1.66,0,9.14,0,10.94,0,0,26.04,0,4.7,0,0,0,0,0
"130","SP-3535002-585023E7A78647558214BFE24FBF611D","SP",3535002,"2012",32.48,0.24,0,1.41,1.31,4.95,0,0,24.57,0,0,0,0,0,0,0
"131","SP-3535002-60C312A9890F41DB909B1AEDABD152ED","SP",3535002,"2012",79.61,11.99,0,0.67,0.43,9.86,0,0,56.58,0.08,0,0,0,0,0,0
"132","SP-3535002-683FF484A1184BBF9D9D87CA7D92358A","SP",3535002,"2012",26.13,0,0,1.36,6.35,16.62,0,0,1.8,0,0,0,0,0,0,0
