"","fcar","uf","munic","year","app_area_hec","Formacao Florestal","Campo Alagado e Area Pantanosa","Pastagem","Mosaico de Agricultura e Pastagem","Rio, Lago e Oceano","Cana-de-Acucar","Formacao Savanica","Soja","Fomacao Campestre","Café","Outras Lavouras Temporarias"
"87","SP-3524303-1739C594B4F540C59AF7B47ADBB2D62D","SP",3524303,"2012",70.22,44.85,17.91,0,3.3,2.74,0.88,0,0,0,0,0.27
"88","SP-3524303-21656AD4FE944F7CB66011E4418F4187","SP",3524303,"2012",10.39,3.25,0.43,0,6.32,0,0.19,0,0,0,0,0.2
"89","SP-3524303-244BE86A3253482D851098B4D30F836D","SP",3524303,"2012",13.47,5.94,1.92,0,4.54,0,1.03,0,0,0,0,0.04
"90","SP-3524303-2805984E47D8413EA1F7FEED4A0C84DE","SP",3524303,"2012",0.99,0.07,0.67,0,0.26,0,0,0,0,0,0,0
"91","SP-3524303-45EABA24951149768D24A6F8C9E5BA8A","SP",3524303,"2012",8.87,6.39,0,0,2.02,0,0.46,0,0,0,0,0
"92","SP-3524303-4BF2884CA53D40CD816BC459457BC020","SP",3524303,"2012",4.61,2.93,0,0,1.63,0.05,0,0,0,0,0,0
"93","SP-3524303-577FC36D359E4056801675249F938706","SP",3524303,"2012",0,0,0,0,0,0,16.73,0,0,0,0,0
"94","SP-3524303-733F23B337C949A4B6314BBA22BD73A4","SP",3524303,"2012",0,0,0,0,0.77,0,18.73,0,0,0,0,0
"95","SP-3524303-7719C63514204FAA8BE3E4E773DD4B26","SP",3524303,"2012",2.28,0,0,0,1.39,0,0.89,0,0,0,0,0
"96","SP-3524303-7A7AD6C4FA144A09B9066F7638202E55","SP",3524303,"2012",6.02,1.32,0.23,0,3.26,0,1.2,0,0,0,0,0
"97","SP-3524303-7F899BC4BF434FC29BCD16956D775084","SP",3524303,"2012",8.4,0,1.6,0.16,5.05,0.33,1.27,0,0,0,0,0
"98","SP-3524303-825FAA66535C4771B3AE7DEBCB03FA43","SP",3524303,"2012",0,0,0,0,1.82,0,29.04,0,0,0,0,0
"99","SP-3524303-8DC097BB871E49BCAFEEDD4DAAFDBB1E","SP",3524303,"2012",3.95,1,0,0,2.45,0,0.49,0,0,0,0,0
"100","SP-3524303-A4204348BA434E28ADC4E0BAB626B251","SP",3524303,"2012",7.73,0,1.95,0.44,5.34,0,0,0,0,0,0,0
"101","SP-3524303-A7682ED563804138AF6A3F96D16FA05F","SP",3524303,"2012",1.24,0,0.19,0,0.72,0,0.33,0,0,0,0,0
"102","SP-3524303-AE1D25E0508C42BABADC23B3F41E9363","SP",3524303,"2012",0,0,0,0,0,0,65.36,0,0,0,0,0
"103","SP-3524303-B4E7D6269570418A8C7CB04464344387","SP",3524303,"2012",4.35,0,0.53,0,3.46,0,0.36,0,0,0,0,0
"104","SP-3524303-B511EABB874444398E1815F4A23331D5","SP",3524303,"2012",5.85,0,0.81,0.29,4.19,0,0.56,0,0,0,0,0
"105","SP-3524303-B81EF71D75DB4B0E824AC12E7E35D76B","SP",3524303,"2012",1,0,0,0.71,0.29,0,0,0,0,0,0,0
"106","SP-3524303-D35D6052A3004C3EB96D342F15B20926","SP",3524303,"2012",3.81,1.7,0.18,0,1.6,0,0.33,0,0,0,0,0
"107","SP-3524303-D78A85C41DBA40D891D0FEA45835EF2D","SP",3524303,"2012",20.18,7.94,0,0,11.73,0,0.51,0,0,0,0,0
"108","SP-3524303-F6196583B26A4E84AB1CD3FE7039A61E","SP",3524303,"2012",1.23,0.22,0.47,0,0.35,0,0.07,0,0,0,0,0.13
"109","SP-3529302-4380D5F337CF486E8E3C04893F2ED9CB","SP",3529302,"2012",33.1,18.7,4.44,0.01,9.94,0,0.02,0,0,0,0,0
"110","SP-3529302-5DA25D37430D4BE68395555524DC86D4","SP",3529302,"2012",0.43,0.41,0,0,0.02,0,0,0,0,0,0,0
"111","SP-3529302-664B22D1DFC44EAEA99AA819C0EC5779","SP",3529302,"2012",19.3,3.76,0,0.05,15.33,0,0.16,0,0,0,0,0
"112","SP-3529302-6D5093B0A0384E1E967CFBDF049F18E0","SP",3529302,"2012",0,5.38,0,0,26.99,0,0.2,0,0,0,0,0
"113","SP-3529302-82866007393E4DD6B6815EE7F7982D20","SP",3529302,"2012",0.42,0,0,0,0.42,0,0,0,0,0,0,0
"114","SP-3529302-AF136ED1760141DFB2FA0AFF59A07E3E","SP",3529302,"2012",6.14,0,0,0,5.75,0,0.4,0,0,0,0,0
"115","SP-3529302-E22D1B8967CE4CB5959A0B2F759D70ED","SP",3529302,"2012",0.01,0,0,0,0.01,0,0,0,0,0,0,0
"116","SP-3531308-5A765C4491DC4648A27E5D2E884EB375","SP",3531308,"2012",2.89,0.19,0,0,2.69,0,0,0,0,0,0,0
"117","SP-3531308-AA6227303FD445209CCFBA48F79908EA","SP",3531308,"2012",5.31,0.47,2.97,0.09,1.46,0.3,0.02,0,0,0,0,0
"118","SP-3531308-C2F56A08017A4459888CE0E69A3161F8","SP",3531308,"2012",3.03,0.65,0.83,0,1.55,0,0,0,0,0,0,0
"119","SP-3531308-DDC5C4B5C558434A9BE155279F32C2C1","SP",3531308,"2012",7.62,2.66,1.46,0,3.13,0,0.37,0,0,0,0,0
"120","SP-3532058-2C8FEF6FBC44472F9BF843B34FF9047E","SP",3532058,"2012",6.66,3.13,1.4,0,2.02,0,0.11,0,0,0,0,0
"121","SP-3532058-3EE625926E4E460DB99EA36B4AE36ECD","SP",3532058,"2012",1.81,0.49,0.12,0,1.14,0,0.07,0,0,0,0,0
"122","SP-3532058-7CBC1A16AA2E459E8BADBDB848922FAB","SP",3532058,"2012",6.41,2.24,0,0,3.16,0,1.01,0,0,0,0,0
"123","SP-3535002-07DD7C45D3E942C98886BFBB8B06B8D0","SP",3535002,"2012",1.65,0.22,0.41,0,0.95,0,0.08,0,0,0,0,0
"124","SP-3535002-1680D49FBA204A7CB661F0E52301933A","SP",3535002,"2012",1.15,0.74,0,0,0.24,0,0.17,0,0,0,0,0
"125","SP-3535002-1F6BB597B087407AAFBEE1C7F8FB9DD0","SP",3535002,"2012",0.69,0.51,0.11,0.03,0.04,0,0,0,0,0,0,0
"126","SP-3535002-36FD7710DDEB4FEF9F652436C122D3A7","SP",3535002,"2012",6.62,1.17,1.24,1.36,2.85,0,0,0,0,0,0,0
"127","SP-3535002-3DC863903D7C42FC9F62894F755C2800","SP",3535002,"2012",0.76,0.66,0,0,0.1,0,0,0,0,0,0,0
"128","SP-3535002-40C01BBAB3DD4547ACBB2CF3E5E0BF67","SP",3535002,"2012",0.06,0,0,0.01,0.05,0,0,0,0,0,0,0
"129","SP-3535002-415A2CFCCF6B4DC385D02C3268D01824","SP",3535002,"2012",7.85,1.43,5.43,0,0.99,0,0,0,0,0,0,0
"130","SP-3535002-585023E7A78647558214BFE24FBF611D","SP",3535002,"2012",2.04,0.24,0.86,0,0.93,0,0,0,0,0,0,0
"131","SP-3535002-60C312A9890F41DB909B1AEDABD152ED","SP",3535002,"2012",6.17,4.01,0.38,0.03,1.75,0,0,0,0,0,0,0
"132","SP-3535002-683FF484A1184BBF9D9D87CA7D92358A","SP",3535002,"2012",2.74,0,0.85,0.25,1.64,0,0,0,0,0,0,0
"133","SP-3535002-7332E87CC64447AB9B90600125687065","SP",3535002,"2012",0.5,0.49,0,0,0.01,0,0,0,0,0,0,0
"134","SP-3535002-7FBC29A1A88D419EBF00F797B3D62E40","SP",3535002,"2012",5.22,0,2.07,0.13,3.01,0,0.01,0,0,0,0,0
"135","SP-3535002-8BB90BDFB1624905888097443F8D60C7","SP",3535002,"2012",6.59,1.18,0,2.88,2.53,0,0,0,0,0,0,0
"136","SP-3535002-97BAAFDC07D442A1BE4E2DA6D836E9DE","SP",3535002,"2012",0.95,0.05,0,0.59,0.31,0,0,0,0,0,0,0
"137","SP-3535002-A9A5F5E72BD642C6A60413C4BD7501D8","SP",3535002,"2012",0.88,0,0.77,0,0.11,0,0,0,0,0,0,0
"138","SP-3535002-AD3D9B1A1CA24462A76E05B33C899E51","SP",3535002,"2012",4.87,0.28,2.47,0,2.13,0,0,0,0,0,0,0
"139","SP-3535002-AE29685C68A446BFA66CA289D83298C9","SP",3535002,"2012",6.29,0.35,0,0.97,4.97,0,0,0,0,0,0,0
"140","SP-3535002-B81BCF8F7EF34150B0B06FA44A8AEB27","SP",3535002,"2012",2.72,0,0.69,0.55,1.48,0,0,0,0,0,0,0
"141","SP-3535002-C39F61FBD45A4FE9B9DB41642C30FBE5","SP",3535002,"2012",7.01,0.03,3.14,0.18,3.31,0.34,0,0,0,0,0,0
"142","SP-3535002-C54A6412F2174BAABD020E756C5779EC","SP",3535002,"2012",1,0,0.62,0,0.29,0,0.08,0,0,0,0,0
"143","SP-3535002-C9156E596B5E4BF5A7E4AB052700B7B7","SP",3535002,"2012",1.91,1.29,0,0.26,0.36,0,0,0,0,0,0,0
"144","SP-3535002-D3C38922D0114B2DBBF18E00D6EA9EB9","SP",3535002,"2012",11.5,2.48,0.34,0.74,7.93,0,0,0,0,0,0,0
"145","SP-3535002-D426BF430B4C4F43B985BEE07AAA7791","SP",3535002,"2012",0,0,0,0,0,0,0,0,0,0,0,0
"146","SP-3535002-D68439EDE895466F8C315C4E7919783B","SP",3535002,"2012",8.1,0,5.97,0.61,1.52,0,0,0,0,0,0,0
"147","SP-3535002-E9610D9EE80E4223921BFC53E361EE3F","SP",3535002,"2012",1.46,0.1,0.51,0.03,0.83,0,0,0,0,0,0,0
"148","SP-3536307-03C0130B26BC4B9E8A6DA288DA994CFB","SP",3536307,"2012",0.19,0.19,0,0,0,0,0,0,0,0,0,0
"149","SP-3536307-2E39329A9BFE4EDDB7C0DA4BE005B9F4","SP",3536307,"2012",0,28.67,0,0,0.95,0,43.65,0,0,0,0,0
"150","SP-3536307-38E1F2C15F2F44D3AEBFA47848DB8B76","SP",3536307,"2012",5.51,2.27,1.36,0,0.55,0,0.01,1.33,0,0,0,0
"151","SP-3536307-39C8340CEEE54519A353C1E4921B8A11","SP",3536307,"2012",13.63,9.63,0,0,3.66,0,0.27,0,0,0,0,0.08
