,NUMREGCAR,uf,munic,fcar
75,SP352190376C1E7D3340547CBA5822B0C071BA51E,SP,3521903,SP-3521903-76C1E7D3340547CBA5822B0C071BA51E
76,SP3521903B5C1D5D919494A468180C84FE4B26CC7,SP,3521903,SP-3521903-B5C1D5D919494A468180C84FE4B26CC7
77,SP3521903BA9A0D49AD1E4F8E90188416817A5DC2,SP,3521903,SP-3521903-BA9A0D49AD1E4F8E90188416817A5DC2
78,SP3521903E00526DDA4BA4D31BF90F8449B7E9941,SP,3521903,SP-3521903-E00526DDA4BA4D31BF90F8449B7E9941
79,SP3521903E107AA621BC84815B6EED997D01010E8,SP,3521903,SP-3521903-E107AA621BC84815B6EED997D01010E8
80,SP35227034744A99A90614109A09FBA291D6A206A,SP,3522703,SP-3522703-4744A99A90614109A09FBA291D6A206A
81,SP3522703D63E157FE78345B89EC2098A7334BDBD,SP,3522703,SP-3522703-D63E157FE78345B89EC2098A7334BDBD
82,SP35242042BF66C8B164B499D8F010053E0860443,SP,3524204,SP-3524204-2BF66C8B164B499D8F010053E0860443
83,SP352430303046467329F40E3BD3DFC1A739DB165,SP,3524303,SP-3524303-03046467329F40E3BD3DFC1A739DB165
84,SP35243030DC942AABD574146A51CD1A38C3B9070,SP,3524303,SP-3524303-0DC942AABD574146A51CD1A38C3B9070
85,SP3524303118775A2CCDD4FBE94C84767AFF917A8,SP,3524303,SP-3524303-118775A2CCDD4FBE94C84767AFF917A8
86,SP35243031739C594B4F540C59AF7B47ADBB2D62D,SP,3524303,SP-3524303-1739C594B4F540C59AF7B47ADBB2D62D
87,SP352430321656AD4FE944F7CB66011E4418F4187,SP,3524303,SP-3524303-21656AD4FE944F7CB66011E4418F4187
88,SP3524303244BE86A3253482D851098B4D30F836D,SP,3524303,SP-3524303-244BE86A3253482D851098B4D30F836D
89,SP35243032805984E47D8413EA1F7FEED4A0C84DE,SP,3524303,SP-3524303-2805984E47D8413EA1F7FEED4A0C84DE
90,SP352430345EABA24951149768D24A6F8C9E5BA8A,SP,3524303,SP-3524303-45EABA24951149768D24A6F8C9E5BA8A
91,SP35243034BF2884CA53D40CD816BC459457BC020,SP,3524303,SP-3524303-4BF2884CA53D40CD816BC459457BC020
92,SP3524303577FC36D359E4056801675249F938706,SP,3524303,SP-3524303-577FC36D359E4056801675249F938706
93,SP3524303733F23B337C949A4B6314BBA22BD73A4,SP,3524303,SP-3524303-733F23B337C949A4B6314BBA22BD73A4
94,SP35243037719C63514204FAA8BE3E4E773DD4B26,SP,3524303,SP-3524303-7719C63514204FAA8BE3E4E773DD4B26
95,SP35243037A7AD6C4FA144A09B9066F7638202E55,SP,3524303,SP-3524303-7A7AD6C4FA144A09B9066F7638202E55
96,SP35243037F899BC4BF434FC29BCD16956D775084,SP,3524303,SP-3524303-7F899BC4BF434FC29BCD16956D775084
97,SP3524303825FAA66535C4771B3AE7DEBCB03FA43,SP,3524303,SP-3524303-825FAA66535C4771B3AE7DEBCB03FA43
98,SP35243038DC097BB871E49BCAFEEDD4DAAFDBB1E,SP,3524303,SP-3524303-8DC097BB871E49BCAFEEDD4DAAFDBB1E
99,SP3524303A4204348BA434E28ADC4E0BAB626B251,SP,3524303,SP-3524303-A4204348BA434E28ADC4E0BAB626B251
100,SP3524303A7682ED563804138AF6A3F96D16FA05F,SP,3524303,SP-3524303-A7682ED563804138AF6A3F96D16FA05F
101,SP3524303AE1D25E0508C42BABADC23B3F41E9363,SP,3524303,SP-3524303-AE1D25E0508C42BABADC23B3F41E9363
102,SP3524303B4E7D6269570418A8C7CB04464344387,SP,3524303,SP-3524303-B4E7D6269570418A8C7CB04464344387
103,SP3524303B511EABB874444398E1815F4A23331D5,SP,3524303,SP-3524303-B511EABB874444398E1815F4A23331D5
104,SP3524303B81EF71D75DB4B0E824AC12E7E35D76B,SP,3524303,SP-3524303-B81EF71D75DB4B0E824AC12E7E35D76B
105,SP3524303D35D6052A3004C3EB96D342F15B20926,SP,3524303,SP-3524303-D35D6052A3004C3EB96D342F15B20926
106,SP3524303D78A85C41DBA40D891D0FEA45835EF2D,SP,3524303,SP-3524303-D78A85C41DBA40D891D0FEA45835EF2D
107,SP3524303F6196583B26A4E84AB1CD3FE7039A61E,SP,3524303,SP-3524303-F6196583B26A4E84AB1CD3FE7039A61E
108,SP35293024380D5F337CF486E8E3C04893F2ED9CB,SP,3529302,SP-3529302-4380D5F337CF486E8E3C04893F2ED9CB
109,SP35293025DA25D37430D4BE68395555524DC86D4,SP,3529302,SP-3529302-5DA25D37430D4BE68395555524DC86D4
110,SP3529302664B22D1DFC44EAEA99AA819C0EC5779,SP,3529302,SP-3529302-664B22D1DFC44EAEA99AA819C0EC5779
111,SP35293026D5093B0A0384E1E967CFBDF049F18E0,SP,3529302,SP-3529302-6D5093B0A0384E1E967CFBDF049F18E0
112,SP352930282866007393E4DD6B6815EE7F7982D20,SP,3529302,SP-3529302-82866007393E4DD6B6815EE7F7982D20
113,SP3529302AF136ED1760141DFB2FA0AFF59A07E3E,SP,3529302,SP-3529302-AF136ED1760141DFB2FA0AFF59A07E3E
114,SP3529302E22D1B8967CE4CB5959A0B2F759D70ED,SP,3529302,SP-3529302-E22D1B8967CE4CB5959A0B2F759D70ED
115,SP35313085A765C4491DC4648A27E5D2E884EB375,SP,3531308,SP-3531308-5A765C4491DC4648A27E5D2E884EB375
116,SP3531308AA6227303FD445209CCFBA48F79908EA,SP,3531308,SP-3531308-AA6227303FD445209CCFBA48F79908EA
117,SP3531308C2F56A08017A4459888CE0E69A3161F8,SP,3531308,SP-3531308-C2F56A08017A4459888CE0E69A3161F8
118,SP3531308DDC5C4B5C558434A9BE155279F32C2C1,SP,3531308,SP-3531308-DDC5C4B5C558434A9BE155279F32C2C1
119,SP35320582C8FEF6FBC44472F9BF843B34FF9047E,SP,3532058,SP-3532058-2C8FEF6FBC44472F9BF843B34FF9047E
120,SP35320583EE625926E4E460DB99EA36B4AE36ECD,SP,3532058,SP-3532058-3EE625926E4E460DB99EA36B4AE36ECD
121,SP35320587CBC1A16AA2E459E8BADBDB848922FAB,SP,3532058,SP-3532058-7CBC1A16AA2E459E8BADBDB848922FAB
122,SP353500207DD7C45D3E942C98886BFBB8B06B8D0,SP,3535002,SP-3535002-07DD7C45D3E942C98886BFBB8B06B8D0
123,SP35350021680D49FBA204A7CB661F0E52301933A,SP,3535002,SP-3535002-1680D49FBA204A7CB661F0E52301933A
124,SP35350021F6BB597B087407AAFBEE1C7F8FB9DD0,SP,3535002,SP-3535002-1F6BB597B087407AAFBEE1C7F8FB9DD0
125,SP353500236FD7710DDEB4FEF9F652436C122D3A7,SP,3535002,SP-3535002-36FD7710DDEB4FEF9F652436C122D3A7
126,SP35350023DC863903D7C42FC9F62894F755C2800,SP,3535002,SP-3535002-3DC863903D7C42FC9F62894F755C2800
127,SP353500240C01BBAB3DD4547ACBB2CF3E5E0BF67,SP,3535002,SP-3535002-40C01BBAB3DD4547ACBB2CF3E5E0BF67
128,SP3535002415A2CFCCF6B4DC385D02C3268D01824,SP,3535002,SP-3535002-415A2CFCCF6B4DC385D02C3268D01824
129,SP3535002585023E7A78647558214BFE24FBF611D,SP,3535002,SP-3535002-585023E7A78647558214BFE24FBF611D
130,SP353500260C312A9890F41DB909B1AEDABD152ED,SP,3535002,SP-3535002-60C312A9890F41DB909B1AEDABD152ED
131,SP3535002683FF484A1184BBF9D9D87CA7D92358A,SP,3535002,SP-3535002-683FF484A1184BBF9D9D87CA7D92358A
132,SP35350027332E87CC64447AB9B90600125687065,SP,3535002,SP-3535002-7332E87CC64447AB9B90600125687065
133,SP35350027FBC29A1A88D419EBF00F797B3D62E40,SP,3535002,SP-3535002-7FBC29A1A88D419EBF00F797B3D62E40
134,SP35350028BB90BDFB1624905888097443F8D60C7,SP,3535002,SP-3535002-8BB90BDFB1624905888097443F8D60C7
135,SP353500297BAAFDC07D442A1BE4E2DA6D836E9DE,SP,3535002,SP-3535002-97BAAFDC07D442A1BE4E2DA6D836E9DE
136,SP3535002A9A5F5E72BD642C6A60413C4BD7501D8,SP,3535002,SP-3535002-A9A5F5E72BD642C6A60413C4BD7501D8
137,SP3535002AD3D9B1A1CA24462A76E05B33C899E51,SP,3535002,SP-3535002-AD3D9B1A1CA24462A76E05B33C899E51
138,SP3535002AE29685C68A446BFA66CA289D83298C9,SP,3535002,SP-3535002-AE29685C68A446BFA66CA289D83298C9
139,SP3535002B81BCF8F7EF34150B0B06FA44A8AEB27,SP,3535002,SP-3535002-B81BCF8F7EF34150B0B06FA44A8AEB27
140,SP3535002C39F61FBD45A4FE9B9DB41642C30FBE5,SP,3535002,SP-3535002-C39F61FBD45A4FE9B9DB41642C30FBE5
141,SP3535002C54A6412F2174BAABD020E756C5779EC,SP,3535002,SP-3535002-C54A6412F2174BAABD020E756C5779EC
142,SP3535002C9156E596B5E4BF5A7E4AB052700B7B7,SP,3535002,SP-3535002-C9156E596B5E4BF5A7E4AB052700B7B7
143,SP3535002D3C38922D0114B2DBBF18E00D6EA9EB9,SP,3535002,SP-3535002-D3C38922D0114B2DBBF18E00D6EA9EB9
144,SP3535002D426BF430B4C4F43B985BEE07AAA7791,SP,3535002,SP-3535002-D426BF430B4C4F43B985BEE07AAA7791
145,SP3535002D68439EDE895466F8C315C4E7919783B,SP,3535002,SP-3535002-D68439EDE895466F8C315C4E7919783B
146,SP3535002E9610D9EE80E4223921BFC53E361EE3F,SP,3535002,SP-3535002-E9610D9EE80E4223921BFC53E361EE3F
147,SP353630703C0130B26BC4B9E8A6DA288DA994CFB,SP,3536307,SP-3536307-03C0130B26BC4B9E8A6DA288DA994CFB
148,SP35363072E39329A9BFE4EDDB7C0DA4BE005B9F4,SP,3536307,SP-3536307-2E39329A9BFE4EDDB7C0DA4BE005B9F4
149,SP353630738E1F2C15F2F44D3AEBFA47848DB8B76,SP,3536307,SP-3536307-38E1F2C15F2F44D3AEBFA47848DB8B76
150,SP353630739C8340CEEE54519A353C1E4921B8A11,SP,3536307,SP-3536307-39C8340CEEE54519A353C1E4921B8A11
151,SP35363078FA0CD7AF87243C2AD4A29EF1C780683,SP,3536307,SP-3536307-8FA0CD7AF87243C2AD4A29EF1C780683
152,SP3536307A14D5F1196DC4FE89631A52006CE8D3A,SP,3536307,SP-3536307-A14D5F1196DC4FE89631A52006CE8D3A
153,SP3536307AA36A6369D48486EB1C65F08DFF7BEC0,SP,3536307,SP-3536307-AA36A6369D48486EB1C65F08DFF7BEC0
154,SP3536307AAED526D05264DA281EA7C8692482317,SP,3536307,SP-3536307-AAED526D05264DA281EA7C8692482317
155,SP3536307D3EBF3FAC8564D139139231BDCBFA492,SP,3536307,SP-3536307-D3EBF3FAC8564D139139231BDCBFA492
156,SP3536307E76342C0AB1F47D29C1AC5568BE76819,SP,3536307,SP-3536307-E76342C0AB1F47D29C1AC5568BE76819
157,SP3536307F5CDFF4EC2FB43FEA76AA177E901AA60,SP,3536307,SP-3536307-F5CDFF4EC2FB43FEA76AA177E901AA60
158,SP3538105D4B13E2251B3446AA7B445237DF0CBCD,SP,3538105,SP-3538105-D4B13E2251B3446AA7B445237DF0CBCD
159,SP3540309455A2263AE1B4CEDBF18C9A8EF56FD37,SP,3540309,SP-3540309-455A2263AE1B4CEDBF18C9A8EF56FD37
160,SP3540309663984AC1E8A4B0F817BC2599BBF2DA4,SP,3540309,SP-3540309-663984AC1E8A4B0F817BC2599BBF2DA4
161,SP3540903262EC6A45FFB45A8B306D5BB26DCAB02,SP,3540903,SP-3540903-262EC6A45FFB45A8B306D5BB26DCAB02
162,SP354090373F249DF772D472EA6E4054C889E3C37,SP,3540903,SP-3540903-73F249DF772D472EA6E4054C889E3C37
163,SP3540903B11929B3E6EA4E9696D1E205DB6984F0,SP,3540903,SP-3540903-B11929B3E6EA4E9696D1E205DB6984F0
164,SP35434021DA8730846C74686A4AB4FFFEDF102CA,SP,3543402,SP-3543402-1DA8730846C74686A4AB4FFFEDF102CA
165,SP35434021F1F7808BB7942A7AC24E42F391C7A50,SP,3543402,SP-3543402-1F1F7808BB7942A7AC24E42F391C7A50
166,SP354340242E69DAFD66A48F2A2C94EF340E96EAD,SP,3543402,SP-3543402-42E69DAFD66A48F2A2C94EF340E96EAD
167,SP35434024B9B41D5E4C44F83BCC3BF1C40A0AD09,SP,3543402,SP-3543402-4B9B41D5E4C44F83BCC3BF1C40A0AD09
168,SP3543402684F1290C16E47FD88B387C429B2804F,SP,3543402,SP-3543402-684F1290C16E47FD88B387C429B2804F
169,SP3543402EF060FEE30C44FDB89DE102EA19D6E60,SP,3543402,SP-3543402-EF060FEE30C44FDB89DE102EA19D6E60
170,SP3543402FB219CA4F6AA4588AF2B80E948058DBC,SP,3543402,SP-3543402-FB219CA4F6AA4588AF2B80E948058DBC
171,SP354370967FEDFB442A74EFDAFED739AA5492A54,SP,3543709,SP-3543709-67FEDFB442A74EFDAFED739AA5492A54
172,SP3543709895E9A4CA7AA45F787AB51BFD227F7E4,SP,3543709,SP-3543709-895E9A4CA7AA45F787AB51BFD227F7E4
173,SP3543709F0021CE51CC64BE295FD0164556406B2,SP,3543709,SP-3543709-F0021CE51CC64BE295FD0164556406B2
174,SP354560531C240CD9EEA4DB795EAF79257D3A555,SP,3545605,SP-3545605-31C240CD9EEA4DB795EAF79257D3A555
175,SP35456054B1327CD9F0048C8AF0EF7D758D0BF69,SP,3545605,SP-3545605-4B1327CD9F0048C8AF0EF7D758D0BF69
176,SP3545605744C3D0EC2614782AF597E510CD204D4,SP,3545605,SP-3545605-744C3D0EC2614782AF597E510CD204D4
177,SP3553203D7550D3273A445459C0CA1CC9F01DC82,SP,3553203,SP-3553203-D7550D3273A445459C0CA1CC9F01DC82
178,SP35537080858FA9FDFB0409EA92DDE3863FA14D1,SP,3553708,SP-3553708-0858FA9FDFB0409EA92DDE3863FA14D1
179,SP355370808F4112E61274728B7E28D4DD2C492B7,SP,3553708,SP-3553708-08F4112E61274728B7E28D4DD2C492B7
180,SP3553708091EAB10770A48328E6C7B9AA8156DF2,SP,3553708,SP-3553708-091EAB10770A48328E6C7B9AA8156DF2
181,SP35537080B8611F8492B4FBE9F4919FD2B4CCCFB,SP,3553708,SP-3553708-0B8611F8492B4FBE9F4919FD2B4CCCFB
182,SP35537080CD642AFEAB8483FA6531F2D4F185ED8,SP,3553708,SP-3553708-0CD642AFEAB8483FA6531F2D4F185ED8
183,SP355370826DB381602EF46B78D04BDCED4CCF582,SP,3553708,SP-3553708-26DB381602EF46B78D04BDCED4CCF582
184,SP35537082847AE9800F147A58CC6658A2275C5A5,SP,3553708,SP-3553708-2847AE9800F147A58CC6658A2275C5A5
185,SP35537083CB6F6CB2CC74B658B8220A88406C647,SP,3553708,SP-3553708-3CB6F6CB2CC74B658B8220A88406C647
186,SP35537084389915C37424AF6A21D3FBF1B6D2D40,SP,3553708,SP-3553708-4389915C37424AF6A21D3FBF1B6D2D40
187,SP355370849A3269AAE35408995F4486D1409FA51,SP,3553708,SP-3553708-49A3269AAE35408995F4486D1409FA51
188,SP35537085F2E87B8ABE847618C1AF8E982479ED6,SP,3553708,SP-3553708-5F2E87B8ABE847618C1AF8E982479ED6
189,SP355370863B9D7B6A988411A8A8F3BA1744F0F60,SP,3553708,SP-3553708-63B9D7B6A988411A8A8F3BA1744F0F60
190,SP355370875EB43DF11594E7A96F4561A8FDDABB7,SP,3553708,SP-3553708-75EB43DF11594E7A96F4561A8FDDABB7
191,SP35537088AD9E86E75D84315AE9FED048812FC8B,SP,3553708,SP-3553708-8AD9E86E75D84315AE9FED048812FC8B
192,SP355370891969BC01A48412787C2C5625EEB6D11,SP,3553708,SP-3553708-91969BC01A48412787C2C5625EEB6D11
193,SP355370892A63A0F23334E10B312AEA000572D36,SP,3553708,SP-3553708-92A63A0F23334E10B312AEA000572D36
194,SP3553708943E0C267F964F54AADC0BC1416CFC51,SP,3553708,SP-3553708-943E0C267F964F54AADC0BC1416CFC51
195,SP3553708A683C1419B744985B282D80959EA1326,SP,3553708,SP-3553708-A683C1419B744985B282D80959EA1326
196,SP3553708B3B40607D9EC47B39A585035D516A560,SP,3553708,SP-3553708-B3B40607D9EC47B39A585035D516A560
197,SP3553708B6CB9C346B1A49769E52BC44C7D921DD,SP,3553708,SP-3553708-B6CB9C346B1A49769E52BC44C7D921DD
198,SP3553708C19DAF28E878458584873AECBAB95F92,SP,3553708,SP-3553708-C19DAF28E878458584873AECBAB95F92
199,SP3553708DFEE19EE1DAB4088ABE7B5C886ECF753,SP,3553708,SP-3553708-DFEE19EE1DAB4088ABE7B5C886ECF753
200,SP3553708EB64F2865C5B4374A77FE31919A96F49,SP,3553708,SP-3553708-EB64F2865C5B4374A77FE31919A96F49
201,SP3553708EB6C39204B8F4DB4BCCD5DCE766FCB3B,SP,3553708,SP-3553708-EB6C39204B8F4DB4BCCD5DCE766FCB3B
