,NUMREGCAR,Count,uf,munic,fcar
158,SP3522703688843E5EE824E9EAF983F1929A3DCAB,1,SP,3522703,SP-3522703-688843E5EE824E9EAF983F1929A3DCAB
159,SP35227038898F03F3523441A922449D5711E382E,1,SP,3522703,SP-3522703-8898F03F3523441A922449D5711E382E
160,SP35227039117EA35621241E497CF208FFB6BF50D,1,SP,3522703,SP-3522703-9117EA35621241E497CF208FFB6BF50D
161,SP3522703A1595380C37641A69ECA8D7CA238931A,1,SP,3522703,SP-3522703-A1595380C37641A69ECA8D7CA238931A
162,SP3522703C34A57E26DFF401B8364D75E930E6110,1,SP,3522703,SP-3522703-C34A57E26DFF401B8364D75E930E6110
163,SP3522703D63E157FE78345B89EC2098A7334BDBD,1,SP,3522703,SP-3522703-D63E157FE78345B89EC2098A7334BDBD
164,SP35242042BF66C8B164B499D8F010053E0860443,1,SP,3524204,SP-3524204-2BF66C8B164B499D8F010053E0860443
165,SP352430303046467329F40E3BD3DFC1A739DB165,1,SP,3524303,SP-3524303-03046467329F40E3BD3DFC1A739DB165
166,SP352430304EC7A3893B644C689E6253975234CB2,1,SP,3524303,SP-3524303-04EC7A3893B644C689E6253975234CB2
167,SP35243030C5D505260CE44A49C05E898273F2EF5,1,SP,3524303,SP-3524303-0C5D505260CE44A49C05E898273F2EF5
168,SP35243030D9D2A55729346DB8EA50D619743C777,1,SP,3524303,SP-3524303-0D9D2A55729346DB8EA50D619743C777
169,SP35243030DC7AA65802248358DE41F64660F882A,1,SP,3524303,SP-3524303-0DC7AA65802248358DE41F64660F882A
170,SP35243030DC942AABD574146A51CD1A38C3B9070,1,SP,3524303,SP-3524303-0DC942AABD574146A51CD1A38C3B9070
171,SP3524303118775A2CCDD4FBE94C84767AFF917A8,1,SP,3524303,SP-3524303-118775A2CCDD4FBE94C84767AFF917A8
172,SP352430312F3B0A20AA6420583FE76D8D766C059,1,SP,3524303,SP-3524303-12F3B0A20AA6420583FE76D8D766C059
173,SP352430316D9C209540044FAACA45EA6100416EE,1,SP,3524303,SP-3524303-16D9C209540044FAACA45EA6100416EE
174,SP35243031739C594B4F540C59AF7B47ADBB2D62D,1,SP,3524303,SP-3524303-1739C594B4F540C59AF7B47ADBB2D62D
175,SP35243031E27D31489DA49238C2A65AA09684028,1,SP,3524303,SP-3524303-1E27D31489DA49238C2A65AA09684028
176,SP352430321656AD4FE944F7CB66011E4418F4187,1,SP,3524303,SP-3524303-21656AD4FE944F7CB66011E4418F4187
177,SP3524303244BE86A3253482D851098B4D30F836D,1,SP,3524303,SP-3524303-244BE86A3253482D851098B4D30F836D
178,SP3524303269E8EAC5A7C4B9DBBE9C8E0790B1FC1,1,SP,3524303,SP-3524303-269E8EAC5A7C4B9DBBE9C8E0790B1FC1
179,SP35243032805984E47D8413EA1F7FEED4A0C84DE,1,SP,3524303,SP-3524303-2805984E47D8413EA1F7FEED4A0C84DE
180,SP35243032BD4A371B79841BC9627DD2444CDDE75,1,SP,3524303,SP-3524303-2BD4A371B79841BC9627DD2444CDDE75
181,SP352430335CE14E8577741088DE40B3D6C4E9A82,1,SP,3524303,SP-3524303-35CE14E8577741088DE40B3D6C4E9A82
