"","fcar","uf","munic","year","farm_area_hec","Formacao Florestal","Formacao Savanica","Cana-de-Acucar","Mosaico de Agricultura e Pastagem","Outras Lavouras Temporarias","Silvicultura","Campo Alagado e Area Pantanosa","Soja","Café","Citrus","Fomacao Campestre","Pastagem","Area Urbanizada","Rio, Lago e Oceano","Outras Areas nao Vegetadas","Outras Lavouras Perenes","Afloramento"
"135","SP-3553708-D4F14A2FF6DA42EA9E15D59F8F57B6A4","SP",3553708,"2020",39.44,3.95,0,33.77,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0
"136","SP-3553708-DD040990589F4502BE55DF4E30B3EFCF","SP",3553708,"2020",23.38,0,0,1.35,11.97,7.3,0,0,0,0,0,0,2.33,0,0,0,0.42,0
"137","SP-3553708-DFEE19EE1DAB4088ABE7B5C886ECF753","SP",3553708,"2020",19.44,0.02,0,15.79,3.63,0,0,0,0,0,0,0,0,0,0,0,0,0
"138","SP-3553708-E50C78E75E524B3AA2C6066AC4FE482F","SP",3553708,"2020",58.18,1.1,0,53.43,3.43,0.22,0,0,0,0,0,0,0,0,0,0,0,0
"139","SP-3553708-E51EA7DD08D546399EF2AE3287C4ACD3","SP",3553708,"2020",54.8,0.61,0,49.06,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0
"140","SP-3553708-E54198ADCEB64A4189267DD5B6CA322A","SP",3553708,"2020",19.24,0,0,18.52,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0
"141","SP-3553708-EB64F2865C5B4374A77FE31919A96F49","SP",3553708,"2020",54.38,2.05,0,50.29,1.87,0.18,0,0,0,0,0,0,0,0,0,0,0,0
"142","SP-3553708-EB6C39204B8F4DB4BCCD5DCE766FCB3B","SP",3553708,"2020",50.79,0.7,0,42.06,8.03,0,0,0,0,0,0,0,0,0,0,0,0,0
"143","SP-3553708-EF3B18233C9A4112B4F031A678496534","SP",3553708,"2020",54.82,3.4,0,26.61,19.71,0,0,0,2.02,0,0,0,3.08,0,0,0,0,0
"144","SP-3553708-F44CB3E2257C41FB909819F720608FC9","SP",3553708,"2020",54.5,3.67,0,47.86,2.95,0,0,0,0.02,0,0,0,0,0,0,0,0,0
"145","SP-3553708-F4D32E294B944997B70D4C734994593A","SP",3553708,"2020",129.76,11.46,0,96.1,22.17,0,0,0,0,0,0,0,0.03,0,0,0,0,0
